boat	wind_speed	0	30	60	90
1x	-6.0	514.9	508.9	473.3	434.5
1x	-5.0	498.3	492.8	464.1	431.4
1x	-4.0	481.8	477.0	455.7	428.7
1x	-3.0	465.7	461.8	447.9	427.1
1x	-2.0	450.4	447.6	439.7	426.2
1x	-1.0	436.2	434.7	430.5	424.7
1x	1.0	412.7	414.4	418.9	424.7
1x	2.0	404.0	407.5	414.5	426.2
1x	3.0	397.9	400.9	410.4	427.1
1x	4.0	394.4	397.2	408.1	428.7
1x	5.0	393.6	392.6	405.8	431.4
1x	6.0	391.2	392.0	404.4	434.5
2-	-6.0	490.4	486.8	467.2	428.7
2-	-5.0	496.2	472.8	458.4	426.0
2-	-4.0	462.2	459.2	448.3	424.2
2-	-3.0	448.8	446.3	437.5	422.7
2-	-2.0	436.2	434.3	428.1	419.0
2-	-1.0	424.6	423.5	420.3	415.6
2-	1.0	405.6	407.1	410.8	415.6
2-	2.0	398.6	401.6	409.2	419.0
2-	3.0	393.6	397.3	406.5	422.7
2-	4.0	390.7	393.7	404.2	424.2
2-	5.0	389.9	388.5	402.4	426.0
2-	6.0	388.3	388.7	400.6	428.7
4-	-6.0	447.2	447.3	427.0	391.0
4-	-5.0	434.2	434.1	419.0	388.5
4-	-4.0	421.4	420.9	412.4	386.5
4-	-3.0	409.1	408.3	401.8	383.6
4-	-2.0	397.4	391.7	391.5	382.8
4-	-1.0	386.5	385.9	383.2	381.5
4-	1.0	368.2	370.1	374.1	381.5
4-	2.0	361.3	364.9	373.1	382.8
4-	3.0	356.1	360.5	369.9	383.6
4-	4.0	352.6	356.0	367.0	386.5
4-	5.0	351.1	353.4	364.8	388.5
4-	6.0	350.5	350.7	362.9	391.0
8+	-6.0	390.9	391.5	384.9	355.6
8+	-5.0	381.6	381.7	374.8	354.0
8+	-4.0	372.6	372.6	366.3	352.9
8+	-3.0	364.1	363.8	358.7	350.0
8+	-2.0	356.0	355.6	352.1	345.9
8+	-1.0	348.5	348.2	346.3	343.2
8+	1.0	335.9	337.2	340.0	343.2
8+	2.0	330.9	333.5	339.2	345.9
8+	3.0	327.0	330.8	338.9	350.0
8+	4.0	324.2	327.9	337.1	352.9
8+	5.0	322.6	325.1	334.7	354.0
8+	6.0	322.1	319.9	332.9	355.6
